level,x,y,grid_w,grid_h,visits,traces_touching,trace_share,mean_step_frac,pauses,pauses_per_trace,pause_rate,mean_pause_ms,cohort
round2,1,6,8,8,328,328,1.0,0.8836,55,0.1677,0.1677,1872.3,top_solver
round2,1,7,8,8,329,328,1.0,0.8603,42,0.128,0.1277,1878.4,top_solver
round2,2,0,8,8,328,328,1.0,0.0415,11,0.0335,0.0335,3242.6,top_solver
round2,2,2,8,8,328,328,1.0,0.653,25,0.0762,0.0762,2805.3,top_solver
round2,2,3,8,8,339,328,1.0,0.674,102,0.311,0.3009,6523.3,top_solver
round2,2,6,8,8,329,328,1.0,0.9033,19,0.0579,0.0578,1447.5,top_solver
round2,2,7,8,8,329,328,1.0,0.9201,16,0.0488,0.0486,1779.7,top_solver
round2,3,0,8,8,328,328,1.0,0.0622,102,0.311,0.311,10501.5,top_solver
round2,3,2,8,8,329,328,1.0,0.632,22,0.0671,0.0669,1209.9,top_solver
round2,3,3,8,8,330,328,1.0,0.6235,17,0.0518,0.0515,7780.5,top_solver
round2,3,4,8,8,328,328,1.0,0.6056,44,0.1341,0.1341,2040.9,top_solver
round2,3,6,8,8,345,328,1.0,0.9607,18,0.0549,0.0522,1400.1,top_solver
round2,3,7,8,8,328,328,1.0,0.9409,7,0.0213,0.0213,1340.1,top_solver
round2,4,0,8,8,328,328,1.0,0.0829,96,0.2927,0.2927,16065.3,top_solver
round2,4,1,8,8,328,328,1.0,0.3262,93,0.2835,0.2835,3668.9,top_solver
round2,4,2,8,8,333,328,1.0,0.466,94,0.2866,0.2823,2418.8,top_solver
round2,4,3,8,8,330,328,1.0,0.5549,25,0.0762,0.0758,3606.8,top_solver
round2,4,4,8,8,333,328,1.0,0.5841,30,0.0915,0.0901,1679.6,top_solver
round2,4,6,8,8,328,328,1.0,0.9816,2,0.0061,0.0061,1469.0,top_solver
round2,5,0,8,8,329,328,1.0,0.1274,37,0.1128,0.1125,1969.0,top_solver
round2,5,1,8,8,329,328,1.0,0.3292,29,0.0884,0.0881,1478.2,top_solver
round2,5,2,8,8,328,328,1.0,0.4534,55,0.1677,0.1677,2582.5,top_solver
round2,5,3,8,8,334,328,1.0,0.4812,74,0.2256,0.2216,3165.1,top_solver
round2,5,4,8,8,338,328,1.0,0.4444,58,0.1768,0.1716,2908.0,top_solver
round2,5,5,8,8,328,328,1.0,0.4253,76,0.2317,0.2317,3156.6,top_solver
round2,6,0,8,8,328,328,1.0,0.148,69,0.2104,0.2104,8916.0,top_solver
round2,6,1,8,8,328,328,1.0,0.1686,110,0.3354,0.3354,8570.6,top_solver
round2,6,2,8,8,329,328,1.0,0.2137,60,0.1829,0.1824,3157.5,top_solver
round2,6,3,8,8,329,328,1.0,0.4444,57,0.1738,0.1733,2747.7,top_solver
round2,6,4,8,8,329,328,1.0,0.4305,31,0.0945,0.0942,1552.0,top_solver
round2,6,5,8,8,330,328,1.0,0.3999,126,0.3841,0.3818,3683.3,top_solver
round2,6,6,8,8,328,328,1.0,0.3798,78,0.2378,0.2378,4010.2,top_solver
round2,6,7,8,8,328,328,1.0,0.3598,37,0.1128,0.1128,2575.6,top_solver
round2,7,2,8,8,328,328,1.0,0.2338,96,0.2927,0.2927,4033.7,top_solver
round2,7,3,8,8,328,328,1.0,0.254,34,0.1037,0.1037,3021.9,top_solver
round2,7,4,8,8,328,328,1.0,0.2797,16,0.0488,0.0488,2698.8,top_solver
round2,7,5,8,8,328,328,1.0,0.2998,7,0.0213,0.0213,2099.3,top_solver
round2,7,6,8,8,328,328,1.0,0.3198,10,0.0305,0.0305,1417.7,top_solver
round2,7,7,8,8,328,328,1.0,0.3398,17,0.0518,0.0518,1566.5,top_solver
bonus1,0,0,10,10,328,328,1.0,0.0,319,0.9726,0.9726,669885.8,top_solver
bonus1,0,2,10,10,329,328,1.0,0.2751,125,0.3811,0.3799,7270.4,top_solver
bonus1,0,3,10,10,333,328,1.0,0.2821,95,0.2896,0.2853,6261.9,top_solver
bonus1,0,4,10,10,362,328,1.0,0.3369,84,0.2561,0.232,8555.4,top_solver
bonus1,0,5,10,10,331,328,1.0,0.3639,87,0.2652,0.2628,20873.8,top_solver
bonus1,0,6,10,10,380,328,1.0,0.3644,71,0.2165,0.1868,13185.5,top_solver
bonus1,0,7,10,10,328,328,1.0,0.3963,38,0.1159,0.1159,3523.7,top_solver
bonus1,0,8,10,10,333,328,1.0,0.391,39,0.1189,0.1171,4311.6,top_solver
bonus1,0,9,10,10,328,328,1.0,0.3984,64,0.1951,0.1951,46488.2,top_solver
bonus1,1,0,10,10,329,328,1.0,0.0111,74,0.2256,0.2249,43067.0,top_solver
bonus1,1,1,10,10,338,328,1.0,0.1413,73,0.2226,0.216,3893.9,top_solver
bonus1,1,2,10,10,340,328,1.0,0.2666,52,0.1585,0.1529,3424.7,top_solver
bonus1,1,3,10,10,331,328,1.0,0.343,44,0.1341,0.1329,4355.7,top_solver
bonus1,1,4,10,10,331,328,1.0,0.4064,18,0.0549,0.0544,1385.7,top_solver
bonus1,1,6,10,10,328,328,1.0,0.4361,46,0.1402,0.1402,18662.9,top_solver
bonus1,1,7,10,10,333,328,1.0,0.456,49,0.1494,0.1471,2784.1,top_solver
bonus1,1,8,10,10,330,328,1.0,0.4445,29,0.0884,0.0879,4036.3,top_solver
bonus1,1,9,10,10,333,328,1.0,0.4045,33,0.1006,0.0991,554321.6,top_solver
bonus1,2,0,10,10,329,328,1.0,0.1524,55,0.1677,0.1672,2959.4,top_solver
