level,x,y,grid_w,grid_h,visits,traces_touching,trace_share,mean_step_frac,pauses,pauses_per_trace,pause_rate,mean_pause_ms
bonus3,10,8,14,14,3526,3346,1.0,0.6178,365,0.1091,0.1035,2091.1
bonus3,10,9,14,14,3731,3346,1.0,0.5511,363,0.1085,0.0973,1868.6
bonus3,10,11,14,14,3654,3346,1.0,0.4532,727,0.2173,0.199,3973.7
bonus3,10,12,14,14,4149,3346,1.0,0.3904,475,0.142,0.1145,2234.2
bonus3,10,13,14,14,3394,3346,1.0,0.3919,643,0.1922,0.1895,2214.9
bonus3,11,0,14,14,3485,3346,1.0,0.1419,189,0.0565,0.0542,2075.7
bonus3,11,1,14,14,3481,3346,1.0,0.3375,490,0.1464,0.1408,2331.6
bonus3,11,2,14,14,3641,3346,1.0,0.407,378,0.113,0.1038,1922.8
bonus3,11,3,14,14,3569,3346,1.0,0.4617,498,0.1488,0.1395,2070.0
bonus3,11,4,14,14,3914,3346,1.0,0.4797,479,0.1432,0.1224,2125.8
bonus3,11,5,14,14,3475,3346,1.0,0.5604,429,0.1282,0.1235,2210.8
bonus3,11,6,14,14,3745,3346,1.0,0.5242,416,0.1243,0.1111,2206.7
bonus3,11,7,14,14,3528,3346,1.0,0.5315,380,0.1136,0.1077,2219.4
bonus3,11,8,14,14,3556,3346,1.0,0.5356,356,0.1064,0.1001,2102.5
bonus3,11,9,14,14,3534,3346,1.0,0.5354,550,0.1644,0.1556,2188.9
bonus3,11,11,14,14,3650,3346,1.0,0.4377,421,0.1258,0.1153,1655.4
bonus3,11,12,14,14,3482,3346,1.0,0.4422,390,0.1166,0.112,2043.7
bonus3,11,13,14,14,3489,3346,1.0,0.3875,312,0.0932,0.0894,2766.1
bonus3,12,0,14,14,3415,3346,1.0,0.1473,900,0.269,0.2635,44341.2
bonus3,12,1,14,14,3676,3346,1.0,0.1515,541,0.1617,0.1472,8928.8
bonus3,12,2,14,14,3595,3346,1.0,0.2207,782,0.2337,0.2175,2661.3
bonus3,12,3,14,14,4367,3346,1.0,0.2347,534,0.1596,0.1223,2173.5
bonus3,12,4,14,14,3476,3346,1.0,0.4363,660,0.1973,0.1899,2578.7
bonus3,12,5,14,14,3602,3346,1.0,0.4645,351,0.1049,0.0974,2323.0
bonus3,12,6,14,14,3482,3346,1.0,0.4748,582,0.1739,0.1671,2767.6
bonus3,12,7,14,14,4429,3346,1.0,0.3101,580,0.1733,0.131,2157.1
bonus3,12,8,14,14,3750,3346,1.0,0.3429,512,0.153,0.1365,3223.9
bonus3,12,9,14,14,4135,3346,1.0,0.3437,572,0.171,0.1383,5918.6
bonus3,12,10,14,14,3994,3346,1.0,0.355,566,0.1692,0.1417,1617.0
bonus3,12,11,14,14,3677,3346,1.0,0.4187,474,0.1417,0.1289,2173.8
bonus3,12,12,14,14,3563,3346,1.0,0.4199,268,0.0801,0.0752,1638.6
bonus3,12,13,14,14,3537,3346,1.0,0.3677,431,0.1288,0.1219,3213.6
bonus3,13,3,14,14,3436,3346,1.0,0.2535,703,0.2101,0.2046,2425.8
bonus3,13,4,14,14,3536,3346,1.0,0.2629,364,0.1088,0.1029,2802.2
bonus3,13,5,14,14,3463,3346,1.0,0.2937,276,0.0825,0.0797,6982.0
bonus3,13,6,14,14,3480,3346,1.0,0.3021,268,0.0801,0.077,2210.8
bonus3,13,7,14,14,3393,3346,1.0,0.3173,874,0.2612,0.2576,2205.0
bonus3,13,10,14,14,3371,3346,1.0,0.3643,647,0.1934,0.1919,2411.9
bonus3,13,11,14,14,3543,3346,1.0,0.3606,412,0.1231,0.1163,2057.1
bonus3,13,12,14,14,3526,3346,1.0,0.363,335,0.1001,0.095,2077.7
bonus3,13,13,14,14,3410,3346,1.0,0.3678,730,0.2182,0.2141,2622.0
